Tracks,ProcessingTimeLimitSecs,ProcessingTimeAvgSecs,ProcessingTimeMinSecs,ProcessingTimeMaxSecs,CPUPer,DeltaUserCPUTimeSecs,DeltaKernelCPUTimeSecs,DeltaWallTimeSecs,ResidentMemoryMB,BuffSize,SampleRate,BitDepth,Success
1,0.000667,0.000021,0.000019,0.000277,1.006083,0.326531,0.001117,0.325667,9.568256,64,96000,32,true
2,0.000667,0.000030,0.000034,0.000246,1.078044,0.036053,0.000414,0.033827,12.468224,64,96000,32,true
3,0.000667,0.000042,0.000047,0.000279,1.095567,0.036273,0.000801,0.033840,15.499264,64,96000,32,true
4,0.000667,0.000062,0.000062,0.000273,1.131983,0.037720,0.000738,0.033974,18.534400,64,96000,32,true
5,0.000667,0.000059,0.000071,0.000269,1.125280,0.037418,0.000792,0.033956,21.549056,64,96000,32,true
6,0.000667,0.000075,0.000093,0.000317,1.147395,0.038413,0.000486,0.033902,24.584192,64,96000,32,true
7,0.000667,0.000091,0.000106,0.000358,1.180537,0.039317,0.000715,0.033910,27.635712,64,96000,32,true
8,0.000667,0.000099,0.000115,0.000375,1.191862,0.040031,0.000360,0.033889,30.679040,64,96000,32,true
9,0.000667,0.000107,0.000127,0.000375,1.206914,0.040383,0.000535,0.033903,33.742848,64,96000,32,true
10,0.000667,0.000124,0.000142,0.000608,1.241991,0.041651,0.000491,0.033931,36.777984,64,96000,32,true
11,0.000667,0.000127,0.000152,0.000406,1.245271,0.041721,0.000612,0.033995,39.817216,64,96000,32,true
12,0.000667,0.000146,0.000173,0.000488,1.280564,0.042785,0.000904,0.034117,42.872832,64,96000,32,true
13,0.000667,0.000157,0.000184,0.000478,1.297281,0.043456,0.000671,0.034015,45.928448,64,96000,32,true
14,0.000667,0.000177,0.000216,0.000476,1.335712,0.044888,0.000601,0.034056,49.012736,64,96000,32,true
15,0.000667,0.000171,0.000212,0.000480,1.323351,0.044464,0.000653,0.034093,52.068352,64,96000,32,true
16,0.000667,0.000186,0.000230,0.000482,1.346032,0.045232,0.000630,0.034072,55.095296,64,96000,32,true
17,0.000667,0.000201,0.000246,0.000523,1.382500,0.046423,0.000676,0.034068,58.179584,64,96000,32,true
18,0.000667,0.000212,0.000284,0.000686,1.385047,0.047907,0.000704,0.035097,61.239296,64,96000,32,true
19,0.000667,0.000221,0.000288,0.000521,1.412911,0.047694,0.000523,0.034126,64.299008,64,96000,32,true
20,0.000667,0.000235,0.000289,0.000567,1.436890,0.048618,0.000413,0.034123,67.350528,64,96000,32,true
21,0.000667,0.000257,0.000320,0.000579,1.479484,0.049923,0.000520,0.034095,70.397952,64,96000,32,true
22,0.000667,0.000266,0.000332,0.000581,1.503629,0.050777,0.000599,0.034168,73.453568,64,96000,32,true
23,0.000667,0.000273,0.000335,0.000617,1.517033,0.051172,0.000709,0.034199,76.529664,64,96000,32,true
24,0.000667,0.000282,0.000352,0.000611,1.530286,0.051531,0.000765,0.034174,79.581184,64,96000,32,true
25,0.000667,0.000314,0.000384,0.000696,1.576002,0.054487,0.000744,0.035045,82.640896,64,96000,32,true
26,0.000667,0.000304,0.000380,0.000609,1.571324,0.053064,0.000559,0.034126,85.688320,64,96000,32,true
27,0.000667,0.000328,0.000394,0.000702,1.599743,0.055085,0.000938,0.035020,88.735744,64,96000,32,true
28,0.000667,0.000333,0.000403,0.000718,1.607426,0.055436,0.000885,0.035038,91.783168,64,96000,32,true
29,0.000667,0.000360,0.000445,0.000702,1.656371,0.057373,0.000706,0.035064,94.838784,64,96000,32,true
30,0.000667,0.000363,0.000643,0.000842,1.646688,0.057891,0.000601,0.035521,97.894400,64,96000,32,true
31,0.000667,0.000376,0.000460,0.000689,1.686393,0.058156,0.000888,0.035012,100.945920,64,96000,32,true
32,0.000667,0.000371,0.000453,0.000761,1.675705,0.058200,0.000696,0.035147,104.001536,64,96000,32,true
33,0.000667,0.000394,0.000500,0.000822,1.710520,0.059573,0.000769,0.035277,107.069440,64,96000,32,true
34,0.000667,0.000394,0.000484,0.000833,1.708496,0.059413,0.000873,0.035286,110.178304,64,96000,32,true
35,0.000667,0.000444,0.000547,0.001088,1.776980,0.063861,0.000997,0.036499,113.242112,64,96000,32,true
36,0.000667,0.000430,0.000546,0.000772,1.778273,0.061898,0.000779,0.035246,116.297728,64,96000,32,true
37,0.000667,0.000464,0.000575,0.001065,1.788922,0.066081,0.001000,0.037498,119.361536,64,96000,32,true
38,0.000667,0.000464,0.000542,0.000812,1.822483,0.064779,0.000814,0.035991,122.413056,64,96000,32,true
39,0.000667,0.000461,0.000567,0.000913,1.791752,0.065409,0.001022,0.037076,125.468672,64,96000,32,true
40,0.000667,0.000503,0.000628,0.001102,1.628165,0.081439,0.000995,0.050630,128.520192,64,96000,32,true
41,0.000667,0.000506,0.000639,0.000975,1.628675,0.081659,0.001221,0.050888,131.584000,64,96000,32,true
42,0.000667,0.000536,0.000647,0.000906,1.576199,0.091853,0.001283,0.059089,134.639616,64,96000,32,true
43,0.000667,0.000519,0.000653,0.000921,1.631578,0.083660,0.001014,0.051897,137.691136,64,96000,32,true
44,0.000667,0.000603,0.000641,0.001913,1.561749,0.105140,0.001390,0.068212,140.738560,64,96000,32,true
45,0.000667,0.000563,0.000695,0.000962,1.545423,0.100772,0.001348,0.066079,143.773696,64,96000,32,true
46,0.000667,0.000600,0.000707,0.001703,1.532883,0.108818,0.001686,0.072089,146.829312,64,96000,32,true
47,0.000667,0.000599,0.000726,0.000966,1.516835,0.111395,0.001412,0.074370,149.868544,64,96000,32,true
48,0.000667,0.000610,0.000741,0.001051,1.523059,0.111823,0.001619,0.074483,152.924160,64,96000,32,true
49,0.000667,0.000615,0.000747,0.001075,1.522300,0.112769,0.001609,0.075135,155.975680,64,96000,32,true
50,0.000667,0.000625,0.000785,0.001089,1.525632,0.114751,0.001284,0.076057,159.031296,64,96000,32,true
51,0.000667,0.000657,0.000792,0.001127,1.529375,0.119384,0.001793,0.079233,162.074624,64,96000,32,true
52,0.000667,0.000681,0.000819,0.001167,1.538501,0.122746,0.001491,0.080752,165.138432,64,96000,32,true
53,0.000667,0.000681,0.000845,0.001139,1.538289,0.122926,0.001277,0.080741,168.189952,64,96000,32,true
54,0.000667,0.000729,0.000838,0.002511,1.553564,0.128973,0.001587,0.084039,171.233280,64,96000,32,false
55,0.000667,0.000701,0.000862,0.001117,1.544864,0.125125,0.001404,0.081903,174.280704,64,96000,32,false
56,0.000667,0.000734,0.000858,0.001825,1.555844,0.129128,0.001734,0.084110,177.328128,64,96000,32,false
57,0.000667,0.000718,0.000864,0.001237,1.551962,0.127285,0.001444,0.082946,180.383744,64,96000,32,false
58,0.000667,0.000754,0.000916,0.001745,1.562758,0.131298,0.001974,0.085280,183.431168,64,96000,32,false
59,0.000667,0.000755,0.000917,0.001282,1.562820,0.131408,0.001849,0.085267,186.482688,64,96000,32,false
60,0.000667,0.000812,0.000934,0.002451,1.579769,0.138860,0.001662,0.088951,189.530112,64,96000,32,false
61,0.000667,0.000789,0.000961,0.001873,1.573113,0.136143,0.001528,0.087515,192.581632,64,96000,32,false
62,0.000667,0.000795,0.000946,0.001314,1.574424,0.136405,0.001894,0.087841,195.641344,64,96000,32,false
63,0.000667,0.000805,0.000980,0.001328,1.576468,0.137520,0.001947,0.088468,198.701056,64,96000,32,false
64,0.000667,0.000819,0.000973,0.001325,1.584376,0.139033,0.001921,0.088965,201.752576,64,96000,32,false
